Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
About,,,,20-01-2025 10:25:29,20-01-2025 10:26:57,1m - 28.272s,PASSED
,,,,,,,
Test Cases/7. About/7.1 Contact/7.1.1 Main Page,,,,20-01-2025 10:25:29,20-01-2025 10:25:54,24.992s,PASSED
"startApplication(""Test Files/Setia_City_Mall_Version_5_13_11_(Version_Code_162).apk"", false)",,,,20-01-2025 10:25:29,20-01-2025 10:25:48,18.836s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView""), 0)",,"open side nav
",,20-01-2025 10:25:48,20-01-2025 10:25:50,1.858s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - About""), 0)",,,,20-01-2025 10:25:50,20-01-2025 10:25:52,1.940s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Contact""), 0)",,,,20-01-2025 10:25:52,20-01-2025 10:25:54,2.122s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.1 ATM/7.2.1 ATM,,,,20-01-2025 10:25:54,20-01-2025 10:26:24,29.907s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (22)""), 0)",,,,20-01-2025 10:25:54,20-01-2025 10:25:56,1.448s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (14)""), 0)",,,,20-01-2025 10:25:56,20-01-2025 10:25:58,1.908s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - About (1)""), 0)",,,,20-01-2025 10:25:58,20-01-2025 10:26:00,2.056s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Services""), 0)",,,,20-01-2025 10:26:00,20-01-2025 10:26:21,20.987s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ScrollView""), 0)",,,,20-01-2025 10:26:21,20-01-2025 10:26:22,1.583s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - ATM""), 0)",,,,20-01-2025 10:26:22,20-01-2025 10:26:23,0.414s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (16)""), 0)",,,,20-01-2025 10:26:23,20-01-2025 10:26:24,1.441s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.2 Bus/bus,,,,20-01-2025 10:26:24,20-01-2025 10:26:27,2.953s,PASSED
